Event Rate: [0.95, 0.35, 0.28, 0.34, 0.55, 0.65, 0.40, 0.48, 0.41, 0.55, 0.05, 0.29, 1.00, 1.00, 0.55, 0.41, 0.56, 0.60, 1.00, 1.00]
Event Rate: [0.96, 0.35, 0.27, 0.33, 0.57, 0.64, 0.40, 0.50, 0.42, 0.54, 0.05, 0.30, 1.00, 1.00, 0.52, 0.40, 0.57, 0.61, 1.00, 1.00]
Event Rate: [0.95, 0.35, 0.27, 0.33, 0.57, 0.64, 0.40, 0.50, 0.42, 0.54, 0.05, 0.30, 1.00, 1.00, 0.52, 0.40, 0.57, 0.61, 1.00, 1.00]
Event Rate: [0.95, 0.35, 0.27, 0.33, 0.57, 0.65, 0.40, 0.50, 0.42, 0.54, 0.05, 0.30, 1.00, 1.00, 0.52, 0.39, 0.57, 0.61, 1.00, 1.00]
Event Rate: [0.96, 0.36, 0.28, 0.33, 0.57, 0.65, 0.40, 0.49, 0.42, 0.54, 0.05, 0.30, 1.00, 1.00, 0.53, 0.40, 0.58, 0.61, 0.99, 1.00]
Event Rate: [0.95, 0.35, 0.27, 0.33, 0.56, 0.64, 0.40, 0.49, 0.42, 0.53, 0.05, 0.30, 1.00, 1.00, 0.52, 0.39, 0.57, 0.60, 1.00, 1.00]
Event Rate: [0.96, 0.36, 0.27, 0.33, 0.57, 0.65, 0.40, 0.50, 0.42, 0.54, 0.05, 0.30, 1.00, 1.00, 0.53, 0.39, 0.57, 0.61, 1.00, 1.00]
Event Rate: [0.96, 0.34, 0.27, 0.32, 0.56, 0.64, 0.40, 0.50, 0.43, 0.54, 0.05, 0.30, 1.00, 1.00, 0.53, 0.40, 0.57, 0.61, 1.00, 1.00]
Event Rate: [0.96, 0.35, 0.27, 0.32, 0.56, 0.65, 0.40, 0.50, 0.43, 0.54, 0.05, 0.30, 1.00, 1.00, 0.53, 0.40, 0.57, 0.61, 1.00, 1.00]
Event Rate: [0.96, 0.35, 0.27, 0.33, 0.57, 0.65, 0.40, 0.50, 0.43, 0.55, 0.05, 0.30, 1.00, 1.00, 0.53, 0.40, 0.58, 0.61, 1.00, 1.00]
Event Rate: [0.96, 0.35, 0.27, 0.33, 0.57, 0.65, 0.40, 0.50, 0.42, 0.54, 0.05, 0.30, 1.00, 1.00, 0.53, 0.40, 0.58, 0.62, 1.00, 1.00]
Event Rate: [0.96, 0.36, 0.29, 0.36, 0.57, 0.64, 0.41, 0.49, 0.42, 0.54, 0.05, 0.29, 1.00, 1.00, 0.52, 0.40, 0.57, 0.60, 1.00, 1.00]
Event Rate: [0.95, 0.35, 0.28, 0.35, 0.57, 0.64, 0.41, 0.48, 0.42, 0.54, 0.05, 0.29, 1.00, 1.00, 0.52, 0.40, 0.57, 0.59, 1.00, 1.00]
Event Rate: [0.96, 0.36, 0.28, 0.35, 0.57, 0.64, 0.41, 0.49, 0.42, 0.54, 0.05, 0.29, 1.00, 1.00, 0.52, 0.40, 0.57, 0.60, 1.00, 1.00]
Event Rate: [0.96, 0.35, 0.28, 0.34, 0.56, 0.64, 0.40, 0.49, 0.42, 0.54, 0.05, 0.30, 1.00, 1.00, 0.52, 0.40, 0.57, 0.60, 1.00, 1.00]
Event Rate: [0.96, 0.35, 0.28, 0.35, 0.56, 0.64, 0.41, 0.48, 0.42, 0.54, 0.05, 0.29, 1.00, 1.00, 0.52, 0.40, 0.57, 0.60, 1.00, 1.00]
Event Rate: [0.96, 0.35, 0.28, 0.34, 0.56, 0.64, 0.40, 0.49, 0.42, 0.54, 0.05, 0.29, 1.00, 1.00, 0.52, 0.40, 0.57, 0.59, 1.00, 1.00]
Event Rate: [0.96, 0.36, 0.29, 0.35, 0.57, 0.64, 0.41, 0.49, 0.42, 0.54, 0.05, 0.29, 1.00, 1.00, 0.52, 0.40, 0.57, 0.59, 0.99, 1.00]
Event Rate: [0.96, 0.35, 0.28, 0.34, 0.56, 0.64, 0.40, 0.48, 0.42, 0.54, 0.05, 0.29, 1.00, 1.00, 0.52, 0.40, 0.57, 0.59, 1.00, 1.00]
Event Rate: [0.96, 0.35, 0.28, 0.34, 0.57, 0.64, 0.40, 0.48, 0.42, 0.54, 0.05, 0.29, 1.00, 1.00, 0.52, 0.40, 0.57, 0.59, 1.00, 1.00]
Event Rate: [0.96, 0.36, 0.29, 0.36, 0.58, 0.65, 0.42, 0.49, 0.42, 0.55, 0.05, 0.30, 1.00, 1.00, 0.53, 0.41, 0.58, 0.60, 1.00, 1.00]
Event Rate: [0.96, 0.36, 0.28, 0.35, 0.58, 0.65, 0.40, 0.47, 0.42, 0.55, 0.06, 0.30, 1.00, 1.00, 0.54, 0.41, 0.59, 0.60, 1.00, 1.00]
Event Rate: [0.96, 0.35, 0.27, 0.35, 0.57, 0.64, 0.39, 0.47, 0.42, 0.55, 0.05, 0.29, 1.00, 1.00, 0.54, 0.41, 0.58, 0.59, 1.00, 1.00]
Event Rate: [0.96, 0.35, 0.28, 0.35, 0.57, 0.65, 0.40, 0.47, 0.42, 0.55, 0.06, 0.30, 1.00, 1.00, 0.54, 0.42, 0.59, 0.60, 1.00, 1.00]
Event Rate: [0.96, 0.34, 0.27, 0.34, 0.57, 0.64, 0.39, 0.47, 0.42, 0.55, 0.05, 0.29, 1.00, 1.00, 0.53, 0.41, 0.58, 0.59, 1.00, 1.00]
Event Rate: [0.96, 0.36, 0.28, 0.35, 0.58, 0.65, 0.40, 0.47, 0.42, 0.55, 0.05, 0.29, 1.00, 1.00, 0.54, 0.42, 0.59, 0.60, 1.00, 1.00]
Event Rate: [0.95, 0.35, 0.28, 0.35, 0.57, 0.65, 0.40, 0.47, 0.42, 0.55, 0.05, 0.30, 1.00, 1.00, 0.54, 0.41, 0.59, 0.60, 1.00, 1.00]
Event Rate: [0.96, 0.35, 0.28, 0.35, 0.57, 0.65, 0.40, 0.47, 0.42, 0.55, 0.05, 0.30, 1.00, 1.00, 0.54, 0.42, 0.59, 0.60, 1.00, 1.00]
Event Rate: [0.96, 0.35, 0.28, 0.34, 0.57, 0.64, 0.39, 0.47, 0.42, 0.55, 0.05, 0.30, 1.00, 1.00, 0.54, 0.42, 0.58, 0.59, 1.00, 1.00]
Event Rate: [0.96, 0.35, 0.28, 0.35, 0.57, 0.65, 0.40, 0.47, 0.42, 0.55, 0.05, 0.30, 1.00, 1.00, 0.54, 0.41, 0.59, 0.60, 1.00, 1.00]
Event Rate: [0.96, 0.36, 0.28, 0.35, 0.57, 0.65, 0.39, 0.47, 0.42, 0.55, 0.05, 0.30, 1.00, 1.00, 0.54, 0.41, 0.59, 0.60, 0.99, 1.00]
Event Rate: [0.95, 0.36, 0.29, 0.36, 0.59, 0.64, 0.38, 0.45, 0.40, 0.57, 0.05, 0.29, 1.00, 1.00, 0.52, 0.42, 0.55, 0.60, 1.00, 1.00]
Event Rate: [0.96, 0.36, 0.30, 0.36, 0.59, 0.64, 0.38, 0.45, 0.40, 0.57, 0.05, 0.29, 1.00, 1.00, 0.53, 0.42, 0.55, 0.61, 1.00, 1.00]
Event Rate: [0.96, 0.36, 0.30, 0.37, 0.60, 0.65, 0.38, 0.45, 0.40, 0.56, 0.05, 0.29, 1.00, 1.00, 0.52, 0.42, 0.56, 0.61, 1.00, 1.00]
Event Rate: [0.96, 0.35, 0.29, 0.36, 0.59, 0.64, 0.37, 0.44, 0.40, 0.56, 0.05, 0.29, 1.00, 1.00, 0.52, 0.42, 0.54, 0.60, 1.00, 1.00]
Event Rate: [0.96, 0.35, 0.29, 0.35, 0.58, 0.64, 0.37, 0.44, 0.40, 0.56, 0.05, 0.29, 1.00, 1.00, 0.52, 0.41, 0.55, 0.60, 1.00, 1.00]
Event Rate: [0.95, 0.34, 0.28, 0.35, 0.58, 0.63, 0.37, 0.44, 0.40, 0.56, 0.05, 0.29, 1.00, 1.00, 0.51, 0.41, 0.54, 0.60, 1.00, 1.00]
Event Rate: [0.96, 0.34, 0.29, 0.35, 0.58, 0.64, 0.37, 0.44, 0.40, 0.56, 0.05, 0.29, 1.00, 1.00, 0.52, 0.42, 0.55, 0.60, 1.00, 1.00]
Event Rate: [0.96, 0.35, 0.29, 0.36, 0.59, 0.64, 0.38, 0.45, 0.40, 0.56, 0.05, 0.29, 1.00, 1.00, 0.52, 0.42, 0.55, 0.60, 1.00, 1.00]
Event Rate: [0.95, 0.35, 0.29, 0.36, 0.58, 0.63, 0.37, 0.44, 0.40, 0.56, 0.05, 0.29, 1.00, 1.00, 0.52, 0.42, 0.54, 0.59, 1.00, 1.00]
Event Rate: [0.96, 0.35, 0.29, 0.36, 0.59, 0.64, 0.38, 0.45, 0.40, 0.56, 0.05, 0.29, 1.00, 1.00, 0.52, 0.42, 0.55, 0.60, 1.00, 1.00]
Event Rate: [0.96, 0.35, 0.27, 0.35, 0.57, 0.65, 0.37, 0.46, 0.41, 0.56, 0.05, 0.30, 1.00, 1.00, 0.50, 0.38, 0.58, 0.60, 1.00, 1.00]
Event Rate: [0.96, 0.35, 0.27, 0.35, 0.57, 0.66, 0.37, 0.46, 0.41, 0.56, 0.05, 0.30, 1.00, 1.00, 0.50, 0.38, 0.58, 0.60, 1.00, 1.00]
Event Rate: [0.96, 0.35, 0.27, 0.35, 0.56, 0.65, 0.37, 0.46, 0.41, 0.56, 0.05, 0.30, 1.00, 1.00, 0.50, 0.38, 0.58, 0.60, 1.00, 1.00]
Event Rate: [0.96, 0.34, 0.26, 0.34, 0.55, 0.64, 0.37, 0.45, 0.41, 0.55, 0.05, 0.30, 1.00, 1.00, 0.49, 0.37, 0.57, 0.59, 1.00, 1.00]
Event Rate: [0.96, 0.35, 0.27, 0.34, 0.56, 0.65, 0.37, 0.45, 0.41, 0.56, 0.05, 0.30, 1.00, 1.00, 0.50, 0.38, 0.57, 0.59, 1.00, 1.00]
Event Rate: [0.96, 0.35, 0.27, 0.35, 0.57, 0.65, 0.37, 0.46, 0.41, 0.55, 0.05, 0.29, 1.00, 1.00, 0.50, 0.38, 0.57, 0.60, 1.00, 1.00]
Event Rate: [0.96, 0.35, 0.27, 0.35, 0.57, 0.65, 0.38, 0.46, 0.41, 0.56, 0.05, 0.30, 1.00, 1.00, 0.50, 0.37, 0.58, 0.59, 1.00, 1.00]
Event Rate: [0.96, 0.36, 0.28, 0.36, 0.57, 0.65, 0.38, 0.46, 0.41, 0.56, 0.05, 0.30, 1.00, 1.00, 0.50, 0.38, 0.58, 0.60, 1.00, 1.00]
Event Rate: [0.96, 0.34, 0.27, 0.34, 0.56, 0.64, 0.37, 0.45, 0.41, 0.56, 0.05, 0.29, 1.00, 1.00, 0.50, 0.38, 0.57, 0.59, 1.00, 1.00]
Event Rate: [0.96, 0.35, 0.27, 0.35, 0.56, 0.66, 0.37, 0.46, 0.41, 0.55, 0.05, 0.30, 1.00, 1.00, 0.50, 0.37, 0.58, 0.60, 1.00, 1.00]
Event Rate: [0.96, 0.35, 0.29, 0.35, 0.58, 0.65, 0.37, 0.46, 0.42, 0.54, 0.05, 0.30, 1.00, 1.00, 0.52, 0.36, 0.59, 0.60, 1.00, 1.00]
Event Rate: [0.96, 0.36, 0.29, 0.36, 0.58, 0.65, 0.38, 0.46, 0.42, 0.54, 0.05, 0.31, 1.00, 1.00, 0.52, 0.36, 0.59, 0.60, 1.00, 1.00]
Event Rate: [0.95, 0.35, 0.28, 0.35, 0.57, 0.64, 0.37, 0.46, 0.41, 0.53, 0.05, 0.30, 1.00, 1.00, 0.51, 0.36, 0.58, 0.60, 1.00, 1.00]
Event Rate: [0.96, 0.35, 0.28, 0.35, 0.57, 0.64, 0.37, 0.46, 0.41, 0.54, 0.05, 0.30, 1.00, 1.00, 0.51, 0.35, 0.58, 0.59, 1.00, 1.00]
Event Rate: [0.96, 0.35, 0.28, 0.35, 0.57, 0.65, 0.37, 0.46, 0.41, 0.54, 0.05, 0.31, 1.00, 1.00, 0.52, 0.35, 0.58, 0.59, 0.99, 1.00]
Event Rate: [0.96, 0.35, 0.28, 0.35, 0.57, 0.64, 0.37, 0.46, 0.41, 0.54, 0.05, 0.30, 1.00, 1.00, 0.51, 0.36, 0.58, 0.59, 1.00, 1.00]
Event Rate: [0.96, 0.35, 0.28, 0.36, 0.58, 0.64, 0.38, 0.46, 0.42, 0.55, 0.05, 0.30, 1.00, 1.00, 0.52, 0.36, 0.58, 0.60, 1.00, 1.00]
Event Rate: [0.96, 0.35, 0.29, 0.35, 0.58, 0.65, 0.37, 0.46, 0.42, 0.55, 0.05, 0.31, 1.00, 1.00, 0.53, 0.36, 0.58, 0.60, 1.00, 1.00]
Event Rate: [0.96, 0.35, 0.28, 0.35, 0.57, 0.64, 0.37, 0.46, 0.42, 0.54, 0.05, 0.30, 1.00, 1.00, 0.52, 0.36, 0.58, 0.59, 1.00, 1.00]
Event Rate: [0.96, 0.35, 0.29, 0.36, 0.58, 0.65, 0.37, 0.46, 0.41, 0.54, 0.05, 0.31, 1.00, 1.00, 0.52, 0.36, 0.58, 0.60, 1.00, 1.00]
Event Rate: [0.96, 0.35, 0.27, 0.35, 0.58, 0.66, 0.37, 0.46, 0.42, 0.55, 0.05, 0.30, 1.00, 1.00, 0.49, 0.35, 0.58, 0.60, 1.00, 1.00]
Event Rate: [0.95, 0.35, 0.26, 0.35, 0.57, 0.66, 0.37, 0.46, 0.42, 0.55, 0.05, 0.30, 1.00, 1.00, 0.49, 0.36, 0.57, 0.60, 1.00, 1.00]
Event Rate: [0.96, 0.35, 0.26, 0.35, 0.57, 0.65, 0.37, 0.46, 0.41, 0.54, 0.05, 0.30, 1.00, 1.00, 0.48, 0.35, 0.57, 0.60, 1.00, 1.00]
Event Rate: [0.96, 0.34, 0.26, 0.34, 0.57, 0.65, 0.37, 0.46, 0.41, 0.55, 0.05, 0.30, 1.00, 1.00, 0.49, 0.35, 0.57, 0.59, 1.00, 1.00]
Event Rate: [0.96, 0.35, 0.27, 0.35, 0.57, 0.65, 0.37, 0.46, 0.41, 0.54, 0.05, 0.30, 1.00, 1.00, 0.49, 0.35, 0.57, 0.59, 1.00, 1.00]
Event Rate: [0.96, 0.35, 0.27, 0.35, 0.58, 0.65, 0.37, 0.46, 0.42, 0.55, 0.05, 0.30, 1.00, 1.00, 0.49, 0.35, 0.57, 0.60, 1.00, 1.00]
Event Rate: [0.96, 0.35, 0.27, 0.35, 0.57, 0.66, 0.37, 0.46, 0.42, 0.55, 0.05, 0.30, 1.00, 1.00, 0.49, 0.35, 0.57, 0.60, 1.00, 1.00]
Event Rate: [0.96, 0.34, 0.26, 0.35, 0.57, 0.64, 0.37, 0.45, 0.41, 0.54, 0.05, 0.30, 1.00, 1.00, 0.48, 0.35, 0.57, 0.59, 1.00, 1.00]
Event Rate: [0.96, 0.36, 0.27, 0.36, 0.58, 0.65, 0.38, 0.46, 0.41, 0.55, 0.05, 0.30, 1.00, 1.00, 0.49, 0.35, 0.57, 0.60, 1.00, 1.00]
Event Rate: [0.96, 0.34, 0.25, 0.35, 0.57, 0.65, 0.37, 0.45, 0.41, 0.54, 0.05, 0.29, 1.00, 1.00, 0.47, 0.35, 0.56, 0.59, 0.99, 1.00]
Event Rate: [0.96, 0.35, 0.28, 0.36, 0.58, 0.64, 0.39, 0.45, 0.41, 0.53, 0.05, 0.30, 1.00, 1.00, 0.49, 0.34, 0.58, 0.60, 1.00, 1.00]
Event Rate: [0.96, 0.36, 0.28, 0.36, 0.58, 0.64, 0.39, 0.45, 0.41, 0.53, 0.05, 0.31, 1.00, 1.00, 0.50, 0.34, 0.58, 0.60, 1.00, 1.00]
Event Rate: [0.96, 0.36, 0.28, 0.36, 0.58, 0.64, 0.39, 0.45, 0.42, 0.54, 0.05, 0.31, 1.00, 1.00, 0.50, 0.35, 0.59, 0.60, 1.00, 1.00]
Event Rate: [0.96, 0.35, 0.27, 0.35, 0.58, 0.64, 0.38, 0.45, 0.41, 0.53, 0.05, 0.30, 1.00, 1.00, 0.50, 0.34, 0.57, 0.59, 0.99, 1.00]
Event Rate: [0.96, 0.35, 0.27, 0.35, 0.57, 0.64, 0.38, 0.44, 0.41, 0.53, 0.05, 0.31, 1.00, 1.00, 0.49, 0.34, 0.58, 0.60, 1.00, 1.00]
Event Rate: [0.96, 0.35, 0.28, 0.35, 0.58, 0.64, 0.39, 0.45, 0.41, 0.53, 0.05, 0.31, 1.00, 1.00, 0.50, 0.34, 0.59, 0.60, 1.00, 1.00]
Event Rate: [0.95, 0.35, 0.27, 0.35, 0.57, 0.64, 0.38, 0.45, 0.41, 0.53, 0.05, 0.31, 1.00, 1.00, 0.49, 0.34, 0.58, 0.60, 1.00, 1.00]
Event Rate: [0.96, 0.35, 0.27, 0.35, 0.57, 0.64, 0.38, 0.44, 0.41, 0.53, 0.05, 0.30, 1.00, 1.00, 0.49, 0.34, 0.57, 0.59, 1.00, 1.00]
Event Rate: [0.96, 0.35, 0.27, 0.35, 0.58, 0.64, 0.38, 0.44, 0.41, 0.52, 0.05, 0.31, 1.00, 1.00, 0.50, 0.34, 0.58, 0.60, 1.00, 1.00]
Event Rate: [0.96, 0.35, 0.28, 0.35, 0.57, 0.64, 0.38, 0.45, 0.41, 0.53, 0.05, 0.31, 1.00, 1.00, 0.50, 0.34, 0.58, 0.60, 1.00, 1.00]
Event Rate: [0.96, 0.35, 0.28, 0.36, 0.58, 0.66, 0.39, 0.45, 0.42, 0.55, 0.05, 0.31, 1.00, 1.00, 0.53, 0.33, 0.59, 0.61, 1.00, 1.00]
Event Rate: [0.96, 0.34, 0.28, 0.35, 0.57, 0.65, 0.38, 0.45, 0.42, 0.55, 0.06, 0.31, 1.00, 1.00, 0.53, 0.34, 0.58, 0.60, 1.00, 1.00]
Event Rate: [0.95, 0.35, 0.28, 0.36, 0.58, 0.65, 0.39, 0.45, 0.42, 0.55, 0.05, 0.31, 1.00, 1.00, 0.53, 0.33, 0.58, 0.60, 1.00, 1.00]
Event Rate: [0.96, 0.35, 0.28, 0.36, 0.58, 0.66, 0.39, 0.45, 0.42, 0.55, 0.06, 0.31, 1.00, 1.00, 0.53, 0.34, 0.59, 0.61, 1.00, 1.00]
Event Rate: [0.96, 0.35, 0.28, 0.36, 0.57, 0.65, 0.39, 0.45, 0.42, 0.55, 0.06, 0.31, 1.00, 1.00, 0.53, 0.34, 0.58, 0.60, 1.00, 1.00]
Event Rate: [0.96, 0.35, 0.28, 0.37, 0.58, 0.65, 0.39, 0.45, 0.41, 0.54, 0.05, 0.31, 1.00, 1.00, 0.52, 0.33, 0.59, 0.61, 1.00, 1.00]
Event Rate: [0.96, 0.35, 0.28, 0.35, 0.58, 0.65, 0.39, 0.45, 0.42, 0.55, 0.06, 0.31, 1.00, 1.00, 0.53, 0.34, 0.58, 0.60, 1.00, 1.00]
Event Rate: [0.96, 0.35, 0.28, 0.36, 0.58, 0.66, 0.39, 0.45, 0.42, 0.55, 0.06, 0.31, 1.00, 1.00, 0.53, 0.34, 0.59, 0.61, 1.00, 1.00]
Event Rate: [0.96, 0.35, 0.28, 0.37, 0.59, 0.65, 0.39, 0.45, 0.42, 0.55, 0.05, 0.31, 1.00, 1.00, 0.53, 0.34, 0.58, 0.61, 1.00, 1.00]
Event Rate: [0.95, 0.35, 0.28, 0.36, 0.58, 0.65, 0.39, 0.45, 0.42, 0.56, 0.06, 0.31, 1.00, 1.00, 0.54, 0.34, 0.59, 0.60, 1.00, 1.00]
Event Rate: [0.96, 0.35, 0.28, 0.36, 0.59, 0.65, 0.38, 0.45, 0.43, 0.55, 0.05, 0.30, 1.00, 1.00, 0.50, 0.33, 0.58, 0.60, 1.00, 1.00]
Event Rate: [0.96, 0.34, 0.27, 0.35, 0.58, 0.65, 0.37, 0.45, 0.42, 0.54, 0.05, 0.30, 1.00, 1.00, 0.49, 0.33, 0.58, 0.60, 1.00, 1.00]
Event Rate: [0.96, 0.35, 0.28, 0.36, 0.59, 0.65, 0.38, 0.46, 0.43, 0.55, 0.05, 0.31, 1.00, 1.00, 0.50, 0.33, 0.59, 0.61, 1.00, 1.00]
Event Rate: [0.96, 0.34, 0.28, 0.36, 0.58, 0.66, 0.38, 0.45, 0.43, 0.55, 0.05, 0.31, 1.00, 1.00, 0.50, 0.33, 0.59, 0.61, 1.00, 1.00]
Event Rate: [0.96, 0.35, 0.28, 0.36, 0.58, 0.65, 0.38, 0.45, 0.42, 0.54, 0.05, 0.30, 1.00, 1.00, 0.49, 0.33, 0.58, 0.60, 1.00, 1.00]
Event Rate: [0.96, 0.35, 0.28, 0.36, 0.59, 0.65, 0.38, 0.45, 0.42, 0.54, 0.05, 0.30, 1.00, 1.00, 0.49, 0.33, 0.59, 0.61, 1.00, 1.00]
Event Rate: [0.95, 0.35, 0.28, 0.36, 0.59, 0.65, 0.38, 0.45, 0.42, 0.54, 0.05, 0.30, 1.00, 1.00, 0.49, 0.33, 0.58, 0.60, 1.00, 1.00]
Event Rate: [0.95, 0.35, 0.28, 0.37, 0.59, 0.65, 0.38, 0.45, 0.43, 0.55, 0.05, 0.30, 1.00, 1.00, 0.50, 0.33, 0.59, 0.60, 1.00, 1.00]
Event Rate: [0.96, 0.35, 0.28, 0.37, 0.59, 0.65, 0.38, 0.45, 0.42, 0.54, 0.05, 0.30, 1.00, 1.00, 0.49, 0.33, 0.58, 0.60, 1.00, 1.00]
Event Rate: [0.96, 0.36, 0.28, 0.37, 0.59, 0.65, 0.38, 0.45, 0.42, 0.54, 0.05, 0.30, 1.00, 1.00, 0.49, 0.33, 0.59, 0.60, 1.00, 1.00]
Event Rate: [0.96, 0.35, 0.28, 0.36, 0.58, 0.65, 0.38, 0.45, 0.42, 0.54, 0.05, 0.31, 1.00, 1.00, 0.49, 0.33, 0.58, 0.60, 1.00, 1.00]
Event Rate: [0.96, 0.36, 0.29, 0.37, 0.59, 0.65, 0.39, 0.45, 0.42, 0.54, 0.05, 0.31, 1.00, 1.00, 0.50, 0.33, 0.59, 0.60, 1.00, 1.00]
Event Rate: [0.96, 0.35, 0.28, 0.36, 0.58, 0.65, 0.38, 0.45, 0.42, 0.54, 0.05, 0.31, 1.00, 1.00, 0.49, 0.33, 0.58, 0.60, 1.00, 1.00]
Event Rate: [0.96, 0.35, 0.28, 0.36, 0.59, 0.65, 0.38, 0.45, 0.42, 0.54, 0.05, 0.30, 1.00, 1.00, 0.49, 0.33, 0.58, 0.60, 1.00, 1.00]
Event Rate: [0.96, 0.35, 0.28, 0.36, 0.58, 0.65, 0.38, 0.45, 0.42, 0.54, 0.05, 0.31, 1.00, 1.00, 0.50, 0.33, 0.59, 0.60, 1.00, 1.00]
Event Rate: [0.96, 0.36, 0.28, 0.37, 0.59, 0.65, 0.38, 0.45, 0.42, 0.53, 0.05, 0.30, 1.00, 1.00, 0.49, 0.33, 0.59, 0.60, 1.00, 1.00]
Event Rate: [0.96, 0.35, 0.28, 0.37, 0.59, 0.65, 0.38, 0.45, 0.42, 0.54, 0.05, 0.30, 1.00, 1.00, 0.50, 0.33, 0.58, 0.60, 1.00, 1.00]
Event Rate: [0.96, 0.35, 0.28, 0.36, 0.58, 0.65, 0.38, 0.45, 0.42, 0.54, 0.05, 0.31, 1.00, 1.00, 0.50, 0.33, 0.58, 0.60, 1.00, 1.00]
Event Rate: [0.96, 0.35, 0.28, 0.36, 0.58, 0.65, 0.38, 0.45, 0.42, 0.54, 0.05, 0.30, 1.00, 1.00, 0.49, 0.33, 0.58, 0.60, 1.00, 1.00]
Event Rate: [0.95, 0.34, 0.27, 0.36, 0.58, 0.64, 0.38, 0.45, 0.41, 0.54, 0.05, 0.30, 1.00, 1.00, 0.49, 0.33, 0.58, 0.59, 1.00, 1.00]
Event Rate: [0.96, 0.35, 0.28, 0.36, 0.58, 0.65, 0.38, 0.45, 0.41, 0.54, 0.05, 0.30, 1.00, 1.00, 0.50, 0.33, 0.57, 0.59, 1.00, 1.00]
Event Rate: [0.95, 0.35, 0.28, 0.36, 0.58, 0.64, 0.38, 0.45, 0.41, 0.54, 0.05, 0.30, 1.00, 1.00, 0.50, 0.33, 0.57, 0.59, 1.00, 1.00]
Event Rate: [0.96, 0.35, 0.28, 0.37, 0.59, 0.65, 0.39, 0.45, 0.42, 0.54, 0.05, 0.30, 1.00, 1.00, 0.51, 0.33, 0.59, 0.61, 1.00, 1.00]
Event Rate: [0.96, 0.36, 0.29, 0.38, 0.59, 0.66, 0.39, 0.45, 0.41, 0.54, 0.05, 0.30, 1.00, 1.00, 0.51, 0.33, 0.59, 0.61, 1.00, 1.00]
Event Rate: [0.95, 0.35, 0.28, 0.37, 0.59, 0.65, 0.39, 0.45, 0.41, 0.54, 0.05, 0.30, 1.00, 1.00, 0.50, 0.33, 0.59, 0.61, 1.00, 1.00]
Event Rate: [0.95, 0.35, 0.28, 0.36, 0.58, 0.65, 0.38, 0.45, 0.41, 0.54, 0.05, 0.30, 1.00, 1.00, 0.50, 0.33, 0.58, 0.60, 0.99, 1.00]
Event Rate: [0.96, 0.35, 0.28, 0.37, 0.59, 0.65, 0.39, 0.45, 0.42, 0.54, 0.05, 0.30, 1.00, 1.00, 0.50, 0.34, 0.59, 0.60, 1.00, 1.00]
Event Rate: [0.96, 0.36, 0.29, 0.37, 0.59, 0.65, 0.39, 0.45, 0.41, 0.54, 0.05, 0.30, 1.00, 1.00, 0.51, 0.33, 0.59, 0.61, 1.00, 1.00]
Event Rate: [0.96, 0.34, 0.27, 0.35, 0.57, 0.65, 0.38, 0.44, 0.41, 0.53, 0.05, 0.30, 1.00, 1.00, 0.49, 0.33, 0.58, 0.60, 1.00, 1.00]
Event Rate: [0.96, 0.35, 0.28, 0.37, 0.58, 0.65, 0.39, 0.45, 0.41, 0.55, 0.05, 0.30, 1.00, 1.00, 0.51, 0.33, 0.58, 0.60, 1.00, 1.00]
Event Rate: [0.96, 0.34, 0.27, 0.35, 0.57, 0.65, 0.38, 0.45, 0.41, 0.53, 0.05, 0.31, 1.00, 1.00, 0.50, 0.33, 0.58, 0.59, 1.00, 1.00]
Event Rate: [0.96, 0.35, 0.28, 0.36, 0.58, 0.65, 0.39, 0.45, 0.41, 0.53, 0.05, 0.31, 1.00, 1.00, 0.50, 0.33, 0.59, 0.61, 1.00, 1.00]
Event Rate: [0.96, 0.36, 0.29, 0.37, 0.59, 0.66, 0.40, 0.46, 0.42, 0.53, 0.05, 0.31, 1.00, 1.00, 0.51, 0.34, 0.60, 0.62, 1.00, 1.00]
Event Rate: [0.96, 0.35, 0.28, 0.37, 0.58, 0.65, 0.39, 0.45, 0.41, 0.53, 0.05, 0.31, 1.00, 1.00, 0.50, 0.33, 0.59, 0.61, 1.00, 1.00]
Event Rate: [0.96, 0.35, 0.28, 0.36, 0.58, 0.65, 0.39, 0.45, 0.41, 0.53, 0.05, 0.31, 1.00, 1.00, 0.50, 0.33, 0.58, 0.60, 1.00, 1.00]
Event Rate: [0.96, 0.36, 0.29, 0.37, 0.59, 0.65, 0.39, 0.45, 0.41, 0.53, 0.05, 0.31, 1.00, 1.00, 0.51, 0.33, 0.59, 0.61, 1.00, 1.00]
Event Rate: [0.96, 0.35, 0.28, 0.36, 0.57, 0.65, 0.38, 0.45, 0.41, 0.53, 0.05, 0.31, 1.00, 1.00, 0.50, 0.33, 0.58, 0.60, 1.00, 1.00]
Event Rate: [0.96, 0.35, 0.28, 0.36, 0.58, 0.66, 0.39, 0.45, 0.41, 0.52, 0.05, 0.31, 1.00, 1.00, 0.50, 0.33, 0.59, 0.61, 1.00, 1.00]
Event Rate: [0.96, 0.35, 0.29, 0.36, 0.58, 0.66, 0.39, 0.45, 0.41, 0.53, 0.05, 0.31, 1.00, 1.00, 0.51, 0.33, 0.59, 0.61, 1.00, 1.00]
